Nifty,Bajaj
26592,2012
26421,2009
26452,1998
26478,1986
26499,1968
26448,1981
26255,2003
26265,2028
26387,2011
26849,2029
26993,2013
26867,1998
26790,2017
26580,1990
26336,1944
26555,1956
26452,1992
26400,2029
26300,2017
26649,2011
26557,2022
26750,2030
26851,2053
